项目,发布时间,供应商（乙方）,法定代表人,联系方式,合同金额（元）
关于笔记本电脑的框架协议合同公告,2025-03-31 13:50:56,上海今凡信息科技有限公司,薛敏(女),021-64871762,7450.00
关于显示器的框架协议合同公告,2025-03-31 13:50:42,上海勤寅数码科技有限公司,李鹏(男),021-61470882,3580.00
上海市工商业联合会职工食堂餐饮服务项目的合同公告,2025-03-31 13:50:23,上海锦江国际食品餐饮管理有限公司,钱继龙(男),021-63373197,1193383.00
关于碎纸机的框架协议合同公告,2025-03-31 13:48:56,上海逸明恒业数码技术有限公司,冯继芸(女),021-63846590,1960.00
关于打印/复印纸的框架协议合同公告,2025-03-31 13:47:11,上海北木经贸发展有限公司,董琼琳(女),13301755578,6300.00
关于打印/复印纸的框架协议合同公告,2025-03-31 13:46:28,上海北木经贸发展有限公司,董琼琳(女),13301755578,5040.00
关于打印/复印纸的框架协议合同公告,2025-03-31 13:45:39,上海北木经贸发展有限公司,董琼琳(女),13301755578,2300.00
关于打印/复印纸的框架协议合同公告,2025-03-31 13:44:52,上海北木经贸发展有限公司,董琼琳(女),13301755578,890.00
关于台式整机的框架协议合同公告,2025-03-31 13:38:14,上海仪电鑫森科技发展有限公司,夏军(男),17301789236,97950.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-31 13:37:48,上海维优电子工程有限公司,徐芸(女),13801743073,20000.00
上海市第五社会福利院食堂主副食品配送项目的合同公告,2025-03-31 13:25:58,上海捷锐农业发展有限公司,王庭峰(男),18621170905,7040440.00
关于笔记本电脑的框架协议合同公告,2025-03-31 13:23:26,上海勤寅数码科技有限公司,李鹏(男),021-61470882,28500.00
上海道路交通管理信息二期（市公安局部分）子系统建设项目软件测评费公告,2025-03-31 13:16:52,安正网络安全技术有限公司,谭志红(女),021-28953831,982000.00
关于电梯的框架协议合同公告,2025-03-31 13:07:06,上海三菱电梯有限公司,万忠培(男),021-53060606,273500.00
关于台式整机的框架协议合同公告,2025-03-31 13:06:58,上海海德众业信息科技有限公司,沈国柱(男),13918376298,47440.00
关于打印/复印纸的框架协议合同公告,2025-03-31 13:04:54,上海晨光科力普办公用品有限公司,陈湖文(男),13818594932,2881.00
上海市农业科学院2025年度远郊交通保障服务项目的合同公告,2025-03-31 12:46:53,上海新华汽车服务有限公司,王庆璇(男),021-62202436,4721780.00
关于安保服务的定点采购馆合同公告,2025-03-31 12:44:49,上海丰其屋企业发展有限公司,张亚(女),13901742252,950400.00
关于打印/复印纸的框架协议合同公告,2025-03-31 12:44:08,史泰博（上海）有限公司,张潮涌(男),无,14999.10
市局“你点我检”抽检任务1的合同公告,2025-03-31 12:39:09,上海源本食品质量检验有限公司,曹琥靓(男),021-65471617,1911000.00
关于显示器的框架协议合同公告,2025-03-31 12:38:42,上海久至臻光电科技有限公司,唐兹豪(男),15121119728,949.00
关于笔记本电脑的框架协议合同公告,2025-03-31 12:37:35,上海御想科贸有限公司,麦小丽(女),021-64078667,66500.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-31 12:25:07,上海久至臻光电科技有限公司,唐兹豪(男),15121119728,5980.00
关于制冷空调设备的框架协议合同公告,2025-03-31 12:09:12,上海宏教科技发展有限公司,华静霓(女),18918570955,103046.00
关于台式整机的框架协议合同公告,2025-03-31 12:04:13,上海久至臻光电科技有限公司,唐兹豪(男),15121119728,11720.00
市局“你点我检”抽检任务的合同公告,2025-03-31 12:03:32,品测（上海）检测科技有限公司,梁爱勇(男),021-33587967,1911000.00
关于碎纸机的框架协议合同公告,2025-03-31 11:59:35,上海至正科技有限公司,胡家明(男),13310059548,11520.00
关于打印/复印纸的框架协议合同公告,2025-03-31 11:56:13,史泰博（上海）有限公司,张潮涌(男),021-62498579,867.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-31 11:54:14,上海至正科技有限公司,胡家明(男),13310059548,7000.00
关于笔记本电脑的框架协议合同公告,2025-03-31 11:42:12,上海至正科技有限公司,胡家明(男),13310059548,59998.00
关于台式整机的框架协议合同公告,2025-03-31 11:33:56,上海至正科技有限公司,胡家明(男),13310059548,585130.00
关于物业管理服务的框架协议合同公告,2025-03-31 11:29:11,上海宝灵物业管理有限公司,盛磊(男),无,870000.00
关于复印机的框架协议合同公告,2025-03-31 11:25:19,上海宏紫信息科技有限公司,唐琼(女),15000860507,23000.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-31 11:16:17,上海至正科技有限公司,胡家明(男),13310059548,15000.00
上海立信会计金融学院党委办公室2025年复印纸政府框架协议采购合同公告,2025-03-31 11:12:45,晨省纸业（上海）有限公司,郭彦国(男),18021097629,2800.00
上海市应急管理局应急指挥视频会议技术支持保障服务项目的合同公告,2025-03-31 11:11:38,上海天信网络科技股份有限公司,竺伽(男),021-23306026,1190000.00
关于印刷服务的框架协议合同公告,2025-03-31 11:08:41,上海邦达敏奕印务有限公司,施奕(男),13564380173,120000.00
上海道路交通管理信息二期（市公安局部分）子系统建设项目等保三级测评费公告,2025-03-31 11:07:44,固平信息安全技术有限公司,王晓明(男),021-28953831,1168000.00
市局“你点我检”抽检任务的合同公告,2025-03-31 10:56:29,上海市质量监督检验技术研究院,王虎(男),13916937484,1911000.00
关于年度政府报告编制服务的框架协议合同公告,2025-03-31 10:51:46,上海运宣佑会计师事务所（普通合伙）,汤丹花(女),13917204989,250000.00
上海京剧院物业管理服务公告,2025-03-31 10:51:29,上海明华智慧城市运营管理有限公司,李涛(男),021-54619880,3849334.29
市局“你点我检”抽检任务的合同公告,2025-03-31 10:46:26,上海华测品标检测技术有限公司,陈骞(男),13801630888,1911000.00
市局“你点我检”抽检任务1的合同公告,2025-03-31 10:46:18,上海德诺产品检测有限公司,胡海晖(男),021-36322100,1911000.00
关于台式整机的框架协议合同公告,2025-03-31 10:43:08,上海易承志通信息技术有限公司,刘惠珍(女),18101818783,29500.00
关于笔记本电脑的框架协议合同公告,2025-03-31 10:40:48,上海仪电鑫森科技发展有限公司,夏军(男),13524688625,30000.00
关于资产评估服务的框架协议合同公告,2025-03-31 10:35:53,上海信达资产评估有限公司,韩世新(男),13917114571,75000.00
关于物业管理服务的框架协议合同公告,2025-03-31 10:31:03,上海中企物业管理有限公司,朱建华(女),13918327598,15840.00
2025年公交车辆加油服务项目的合同公告,2025-03-31 10:26:28,中国石化销售股份有限公司上海石油分公司,丁春生(男),13524134313,2076300.00
上海芭蕾舞团2024年度年审合同公告,2025-03-31 10:17:18,上海公信会计师事务所有限公司,陈热豪(男),18916315266,7500.00
关于台式整机的框架协议合同公告,2025-03-31 10:08:53,上海凑火网络科技有限公司,顾海涛(男),13311989860,143760.00
关于互联网信息服务的框架协议合同公告,2025-03-31 10:08:07,中国电信股份有限公司上海分公司,龚勃(男),021-63173625,117840.00
关于物业管理服务的框架协议合同公告,2025-03-31 10:07:55,上海锦炜保安服务有限公司,周德斌(男),021-56657370,607500.00
关于后勤食堂彩色激光多功能一体机的框架协议合同公告,2025-03-31 10:06:29,上海志诚泰和信息技术有限公司,朱雨(男),13917706236,4750.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-31 09:58:44,上海晋冉信息科技有限公司,谢瑞君(女),17321038375,2090.00
上海戏剧学院安保服务公告,2025-03-31 09:56:46,上海长安保安服务有限公司,苏建平(男),021-62498005,4759680.00
商品包装物减量、定量包装商品净含量计量监督抽查、零售计量监督抽查的合同公告,2025-03-31 09:56:08,上海市计量测试技术研究院,凌刚(男),021-64220000,1613000.00
关于互联网信息服务的框架协议合同公告,2025-03-31 09:55:34,中国电信股份有限公司上海分公司,龚勃(男),13501815753,166656.00
关于碎纸机的框架协议合同公告,2025-03-31 09:55:01,上海晨光科力普办公用品有限公司,陈湖文(男),021-63689900,49000.00
关于互联网信息服务的框架协议合同公告,2025-03-31 09:48:36,上海电信科技发展有限公司,夏雷(男),13917114571,180000.00
关于会计审计的框架协议合同公告,2025-03-31 09:34:35,上海锦瑞会计师事务所有限公司,殷晓玲(女),021-52130713,49600.00
基于国际展会服务的空间计算底座平台公告,2025-03-31 09:32:53,仪电双杨智能科技（上海）有限公司,宋汝良(男),021-23170200,66491000.00
关于新能源轿车的框架协议合同公告,2025-03-31 09:32:51,上海巴士永达汽车销售服务有限公司,林杰晨(男),02159624331,359800.00
关于互联网信息服务的框架协议合同公告,2025-03-31 09:30:51,上海电信科技发展有限公司,夏雷(男),021-63737130,179272.00
全国市场监管数字化试验区（上海）项目（三期）公告,2025-03-31 09:27:56,上海仪电鑫森科技发展有限公司,夏军(男),021-63898824,29980000.00
上海博物馆《何以中国--红山文化大展（暂定名）》展陈一体化服务项目公告,2025-03-31 09:27:38,上海华成文化科技有限公司,和耀红(男),021-63723500,1675312.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-31 09:25:12,上海政采数码技术有限公司,章思虹(女),021-38223209,4500.00
上海市农业科学院2025年度奉浦安保服务项目的合同公告,2025-03-31 09:21:18,上海金昌盛保安服务有限公司,施文华(男),021-62202436,2422478.52
关于互联网信息服务的框架协议合同公告,2025-03-31 09:16:48,上海电信科技发展有限公司,夏雷(男),021-63737130,350000.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-31 09:16:23,上海中飞办公设备有限公司,许大山(男),15900968099,21000.00
上海市第三社会福利院老人食堂委外服务项目的合同公告,2025-03-31 09:05:58,上海学校餐饮服务有限公司,丰帆(女),15902113395,2580000.00
关于会计审计的框架协议合同公告,2025-03-31 08:52:38,上海上咨会计师事务所有限公司,计安平(男),18016091753,3500.00
关于会计审计的框架协议合同公告,2025-03-31 08:51:58,上海上咨会计师事务所有限公司,计安平(男),18016091753,3500.00
吴淞路333号办公楼修缮工程-弱电工程的合同公告,2025-03-29 09:28:17,上海华壹城市建设集团有限公司,钱定萍(女),18017987623,2871276.36
关于碎纸机的框架协议合同公告,2025-03-28 18:27:29,上海乐华办公设备有限公司,郑子毫(男),15921882131,1880.00
关于笔记本电脑的框架协议合同公告,2025-03-28 17:20:31,上海至正科技有限公司,胡家明(男),18121388387,18160.00
关于碎纸机的框架协议合同公告,2025-03-28 17:17:56,上海政采数码技术有限公司,章思虹(女),18939854005,960.00
关于上海市绿化和市容管理局行政服务中心物业管理服务的框架协议合同公告,2025-03-28 17:17:41,上海复欣物业管理发展有限公司,丁兰弟(男),17621197180,452256.00
上海市社会主义学院改扩建工程项目招标代理服务的合同公告,2025-03-28 17:06:17,上海国际招标有限公司,童静(女),18918110188,1693100.00
关于台式整机的框架协议合同公告,2025-03-28 17:02:26,上海静俭科贸有限公司,于宙(男),13701809837,18000.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-28 16:58:43,上海中飞办公设备有限公司,许大山(男),13701809837,2200.00
2025年度司法行政大楼保安服务合同公告,2025-03-28 16:53:02,上海市保安服务（集团）有限公司,马凌(男),021-24029311,1780000.00
关于打印/复印纸的框架协议合同公告,2025-03-28 16:37:36,上海政采数码技术有限公司,章思虹(女),18939854005,1320.00
关于碎纸机的框架协议合同公告,2025-03-28 16:36:46,上海政采数码技术有限公司,章思虹(女),18939854005,1890.00
上海市药品和医疗器械不良反应监测中心关于保安服务的合同公告,2025-03-28 16:25:01,上海市卢安保安服务有限公司,蔡茜琼(女),18917602619,62400.00
2025年产品质量监督抽查（办公电器、迷你洗衣机、咖啡机、投影仪、电热保温板、泵、阀门）的合同公告,2025-03-28 16:22:52,"工业和信息化部电子第五研究所,江苏省产品质量监督检验研究院",杨建军(男),021-64220000,506200.00
关于物业管理服务的框架协议合同公告,2025-03-28 16:21:05,上海复欣物业管理发展有限公司,丁兰弟(男),15300905667,315188.30
关于台式整机的框架协议合同公告,2025-03-28 16:08:35,上海沐源信息技术有限公司,赵继巍(男),13816712244,5850.00
关于复印机的框架协议合同公告,2025-03-28 16:05:11,上海肃诚办公设备有限公司,王震华(男),13564380173,24990.00
关于资产评估服务的框架协议合同公告,2025-03-28 16:04:06,上海光华资产评估有限公司,林彤辉(男),13901934559,1614.60
关于2023-2024年度ETC服务成本专项调查审核的框架协议合同公告,2025-03-28 16:01:23,上海文会会计师事务所有限公司,纪扣英(女),19821586529,96000.00
关于物业管理服务的框架协议合同公告,2025-03-28 15:54:26,上海复欣物业管理发展有限公司,丁兰弟(男),17601341008,342998.40
辅助人员购买服务的合同公告,2025-03-28 15:51:58,上海莱康海坚商业管理有限公司,王海斌(男),13801703323,10782150.00
关于台式整机的框架协议合同公告,2025-03-28 15:32:54,上海政采数码技术有限公司,章思虹(女),18939854005,23720.00
关于台式整机的框架协议合同公告,2025-03-28 15:30:55,上海政采数码技术有限公司,章思虹(女),18939854005,22320.00
关于物业管理服务的框架协议合同（3号楼大物业）公告,2025-03-28 15:30:30,上海新市北企业管理服务有限公司,王若冰(女),18918889782,851123.76
关于打印/复印纸的框架协议合同公告,2025-03-28 15:29:53,上海政采数码技术有限公司,章思虹(女),18939854005,792.00
2025年产品质量监督抽查（家用电冰箱能效、家用制冷电器、家用空调、家用空调能效、电热水器和洗衣机、电动洗衣机能效、家用电磁灶能效、厨房电器、智能坐便器、智能坐便器水效）的合同公告,2025-03-28 15:24:43,上海市质量监督检验技术研究院,王虎(男),021-64220000,79000.00
2025年产品质量监督抽查（家用电冰箱能效、家用制冷电器、家用空调、家用空调能效、电热水器和洗衣机、电动洗衣机能效、家用电磁灶能效、厨房电器、智能坐便器、智能坐便器水效）的合同公告,2025-03-28 15:23:31,上海市质量监督检验技术研究院,王虎(男),021-64220000,790000.00
2025年产品质量监督抽查（家用电冰箱能效、家用制冷电器、家用空调、家用空调能效、电热水器和洗衣机、电动洗衣机能效、家用电磁灶能效、厨房电器、智能坐便器、智能坐便器水效）的合同公告,2025-03-28 15:22:22,上海市质量监督检验技术研究院,王虎(男),021-64220000,64000.00
SCIEX检验设备维护费的合同公告,2025-03-28 15:22:11,上海爱博才思分析仪器贸易有限公司,JOSEPH,18516799597,1253600.00
关于2024年度污水处理费汇算清缴的合同公告,2025-03-28 15:22:08,上海文汇会计师事务所有限公司,张兵(男),13611792949,109000.00
2025年产品质量监督抽查（家用电冰箱能效、家用制冷电器、家用空调、家用空调能效、电热水器和洗衣机、电动洗衣机能效、家用电磁灶能效、厨房电器、智能坐便器、智能坐便器水效）的合同公告,2025-03-28 15:21:47,上海市质量监督检验技术研究院,王虎(男),021-64220000,496000.00
2025年产品质量监督抽查（家用电冰箱能效、家用制冷电器、家用空调、家用空调能效、电热水器和洗衣机、电动洗衣机能效、家用电磁灶能效、厨房电器、智能坐便器、智能坐便器水效）的合同公告,2025-03-28 15:20:57,上海市质量监督检验技术研究院,王虎(男),021-64220000,192000.00
2025年产品质量监督抽查（家用电冰箱能效、家用制冷电器、家用空调、家用空调能效、电热水器和洗衣机、电动洗衣机能效、家用电磁灶能效、厨房电器、智能坐便器、智能坐便器水效）的合同公告,2025-03-28 15:20:21,上海市质量监督检验技术研究院,王虎(男),021-64220000,636000.00
2025年产品质量监督抽查（家用电冰箱能效、家用制冷电器、家用空调、家用空调能效、电热水器和洗衣机、电动洗衣机能效、家用电磁灶能效、厨房电器、智能坐便器、智能坐便器水效）的合同公告,2025-03-28 15:19:23,上海市质量监督检验技术研究院,王虎(男),021-64220000,192000.00
2025年产品质量监督抽查（家用电冰箱能效、家用制冷电器、家用空调、家用空调能效、电热水器和洗衣机、电动洗衣机能效、家用电磁灶能效、厨房电器、智能坐便器、智能坐便器水效）的合同公告,2025-03-28 15:18:41,上海市质量监督检验技术研究院,王虎(男),021-64220000,192000.00
2025年产品质量监督抽查（家用电冰箱能效、家用制冷电器、家用空调、家用空调能效、电热水器和洗衣机、电动洗衣机能效、家用电磁灶能效、厨房电器、智能坐便器、智能坐便器水效）的合同公告,2025-03-28 15:17:52,上海市质量监督检验技术研究院,王虎(男),021-64220000,600000.00
上海工程技术大学2025年上半年经济责任审计（项目2）的框架协议合同公告,2025-03-28 15:06:23,上海久信会计师事务所有限公司,王艳(女),13918396875,68800.00
关于会计审计的框架协议合同公告,2025-03-28 15:02:12,上海文汇会计师事务所有限公司,张兵(男),17321038375,39000.00
关于复印机的框架协议合同公告,2025-03-28 14:58:37,上海理惠办公设备有限公司,宣杏仙(女),02151371537,25000.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-28 14:48:01,上海梓岳信息技术有限公司,蔡晓丹(男),13564380173,15000.00
关于碎纸机的框架协议合同公告,2025-03-28 14:47:21,上海梓岳信息技术有限公司,蔡晓丹(男),13564380173,3920.00
关于服务器/Server的框架协议合同公告,2025-03-28 14:40:44,上海鸿照网络科技有限公司,张嫣(女),18916878863,174660.00
关于投影机的框架协议合同公告,2025-03-28 14:40:00,上海鸿照网络科技有限公司,张嫣(女),18916878863,8900.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-28 14:39:31,上海鸿照网络科技有限公司,张嫣(女),18017085753,1490.00
关于科研经费及教育培训项目资金专项审核的合同公告,2025-03-28 14:30:59,立信会计师事务所（特殊普通合伙）上海自贸试验区分所,谢骞(男),13636371087,30000.00
2025年产品质量监督抽查（车用汽油和船用燃料油、车用柴油和B5柴油、手提式灭火器和灭火毯、集成灶）的合同公告,2025-03-28 14:15:41,山东腾翔产品质量检测有限公司,滕书亮(男),021-64220000,1180000.00
上海市民政第三精神卫生中心保安物业管理服务公告,2025-03-28 14:04:02,上海华豹保安服务有限公司,周志刚(男),021-66975080,1269441.00
关于打印/复印纸的框架协议合同公告,2025-03-28 13:52:51,上海兴诚办公用品有限公司,周美兴(男),13671501478,2660.00
关于资产评估服务的框架协议合同公告,2025-03-28 13:42:11,上海信达资产评估有限公司,韩世新(男),021-56164364,49815.00
关于会计审计的框架协议合同公告,2025-03-28 13:23:17,中审众环会计师事务所（特殊普通合伙）上海分所,乔玉湍(男),18001606633,18000.00
关于会计审计的框架协议合同公告,2025-03-28 13:16:20,上海财瑞会计师事务所有限公司,李莉(女),17321038375,48000.00
关于会计审计的框架协议合同公告,2025-03-28 12:58:10,上海琳方会计师事务所有限公司,方伊峰(男),15800518732,98200.00
关于上海市福利彩票发行中心兑奖处保安服务的框架协议合同公告,2025-03-28 12:51:01,上海沪杰保安服务有限公司,马景欣(男),021-64729999,96000.00
办公用房租赁的合同公告,2025-03-28 12:48:08,上海东方明珠城上城置业有限公司,崔一楠(女),021-53302282,1599937.32
上海市民政第三精神卫生中心保洁、洗涤物业管理服务公告,2025-03-28 12:38:51,上海轶恒物业管理有限公司,周君芳(女),021-66975080,5794248.00
关于台式整机的框架协议合同公告,2025-03-28 12:18:47,上海邦邻智能信息技术发展有限公司,檀丽娟(女),021-62967652,30000.00
关于显示器的框架协议合同公告,2025-03-28 12:07:26,上海联正信息科技有限公司,黎超(男),18310038099,1499.00
关于其他专业技术服务的框架协议合同公告,2025-03-28 11:55:42,上海交通大学,丁奎岭(男),18317008625,62400.00
关于互联网信息服务的框架协议合同公告,2025-03-28 11:40:30,上海顺仁信息技术有限公司,王明(男),021-33585680,251184.00
关于台式整机的框架协议合同公告,2025-03-28 11:22:36,上海曜印网络科技有限公司,吴麒(男),13564648989,72000.00
上海市第五社会福利院政府聘用辅助用工项目的合同公告,2025-03-28 11:19:53,上海红浦劳务派遣有限公司,王成德(男),18621170905,21150060.00
关于制冷空调设备的框架协议合同公告,2025-03-28 11:19:15,上海军凉空调电器有限公司,鲁军(男),021-69223892,7987.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-28 11:17:18,上海御成数码科技有限公司,陈杨阳(女),18310038099,3590.00
蒸汽锅炉设备采购的合同公告,2025-03-28 11:14:48,上海欣保冷暖设备有限公司,陆剑峰(男),13621922398,4492171.00
关于笔记本电脑的框架协议合同公告,2025-03-28 11:13:40,上海至正科技有限公司,胡家明(男),021-36369901,91580.00
关于资产评估服务的框架协议合同公告,2025-03-28 11:13:07,上海城乡资产评估有限责任公司,励允文(男),13816200901,18000.00
关于互联网信息服务的框架协议合同公告,2025-03-28 10:51:13,中国电信股份有限公司上海分公司,龚勃(男),021-64642509,109200.00
关于笔记本电脑的框架协议合同公告,2025-03-28 10:48:48,上海汉海泉信息科技有限公司,唐旭(男),15618569618,59940.00
关于会计审计的框架协议合同公告,2025-03-28 10:48:30,上海升大华远会计师事务所（普通合伙）,王春良(男),18001606633,28100.00
关于会计审计的框架协议合同公告,2025-03-28 10:47:11,上海升大华远会计师事务所（普通合伙）,王春良(男),18001606633,43000.00
关于笔记本电脑的框架协议合同公告,2025-03-28 10:43:43,上海诚志网络科技有限公司,张少蕾(男),02169221684,95700.00
2025年产品质量监督抽查（食品接触用纸制品、一次性食品接触用纸制品、食品用洗涤剂、食品接触用塑料袋、密胺餐具和奶瓶奶嘴）的合同公告,2025-03-28 10:23:10,上海市质量监督检验技术研究院,王虎(男),021-64220000,936000.00
2025年产品质量监督抽查（食品接触用纸制品、一次性食品接触用纸制品、食品用洗涤剂、食品接触用塑料袋、密胺餐具和奶瓶奶嘴）的合同公告,2025-03-28 10:22:15,上海市质量监督检验技术研究院,王虎(男),021-64220000,936000.00
2025年产品质量监督抽查（食品接触用纸制品、一次性食品接触用纸制品、食品用洗涤剂、食品接触用塑料袋、密胺餐具和奶瓶奶嘴）的合同公告,2025-03-28 10:21:05,上海市质量监督检验技术研究院,王虎(男),021-64220000,566500.00
关于2台便携式计算机采购的框架协议合同公告,2025-03-28 10:04:53,上海维优电子工程有限公司,徐芸(女),13801743073,18160.00
关于物业管理服务的框架协议合同公告,2025-03-28 10:04:04,上海华盛花木园艺有限公司,杨海源(男),021-22273343,186000.00
关于12台台式计算机采购的框架协议合同公告,2025-03-28 10:03:02,上海维优电子工程有限公司,徐芸(女),13801743073,72000.00
安捷伦检验设备维护的合同公告,2025-03-28 09:52:09,安捷伦科技（中国）有限公司,孙大鹏(男),18616558623,3405000.00
关于会计审计的框架协议合同公告,2025-03-28 09:42:21,上海众安会计师事务所有限公司,蒋铭(女),021-61655060,4500.00
关于台式整机的框架协议合同公告,2025-03-28 09:32:31,上海茂源软件科技有限公司,陶学海(男),021-51371537,17850.00
上海工程技术大学2025年上半年经济责任审计（项目1）的框架协议合同公告,2025-03-28 09:13:41,上海文汇会计师事务所有限公司,张兵(男),13918396875,71900.00
关于打印/复印纸的框架协议合同公告,2025-03-28 08:48:10,上海亚非文化用品有限公司,任余满(男),17321038375,5400.00
上海市市级残疾人自助互助康复服务的合同公告,2025-03-28 08:29:08,上海市养志康复医院（上海市阳光康复中心）,靳令经(男),021-37790106,2509650.00
关于台式整机的框架协议合同公告,2025-03-28 08:19:58,上海晗谦商贸有限公司,阮文君(男),18310038099,5930.00
关于台式整机的框架协议合同公告,2025-03-27 22:21:21,上海誉曦科技发展有限公司,陈春文(男),13818130522,48000.00
上海市食品药品检验研究院沃特世检验设备维护项目的合同公告,2025-03-27 17:32:56,沃特世科技（上海）有限公司,李庆(男),021-61562666,1760000.00
关于笔记本电脑的框架协议合同公告,2025-03-27 17:31:29,上海逸明恒业数码技术有限公司,冯继芸(女),021-51371537,19620.00
2025年度储备土地巡查管理工作的合同公告,2025-03-27 17:09:17,上海临城种植管理有限公司,张鸿(男),021-68283773,1780000.00
关于会计审计的框架协议合同公告,2025-03-27 16:49:11,上海文汇会计师事务所有限公司,张兵(男),13611792949,15000.00
关于会计审计的框架协议合同公告,2025-03-27 16:44:55,上海文汇会计师事务所有限公司,张兵(男),17321038375,30000.00
浦东新区周浦镇市级土地整治项目（全域）可行性研究、规划设计及概算编制的合同公告,2025-03-27 16:36:12,上海亚新城市建设有限公司,屠越栋(男),021-63192207,2258000.00
2025年崇明分部安保服务合同公告,2025-03-27 16:35:10,上海康桥保安服务有限公司,唐杰(男),18801911385,628200.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-27 16:34:42,上海中飞办公设备有限公司,许大山(男),17321038375,5600.00
关于物业管理服务的框架协议合同公告,2025-03-27 16:31:18,上海大观园园林绿化工程有限公司,吴晓军(男),021-22880000,833800.00
关于复印机的框架协议合同公告,2025-03-27 16:29:18,上海港讯电子科技有限公司,李勇勇(男),18621998382,24900.00
关于台式整机的框架协议合同公告,2025-03-27 16:26:59,上海遂乐电子科技有限公司,刘昊炜(男),021-64701576,85410.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-27 16:26:24,上海华合许信息技术有限公司,王许(女),18019279395,45974.00
关于笔记本电脑的框架协议合同公告,2025-03-27 16:26:02,上海遂乐电子科技有限公司,刘昊炜(男),021-64701576,18940.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-27 16:25:55,上海华合许信息技术有限公司,王许(女),18019279395,17558.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-27 16:24:34,上海华合许信息技术有限公司,王许(女),18019279395,5250.00
关于彩色激光多功能一体机的框架协议合同公告,2025-03-27 16:23:59,上海华合许信息技术有限公司,王许(女),18019279395,9000.00
关于台式整机的框架协议合同公告,2025-03-27 16:21:14,上海长盈办公设备有限公司,沈静(女),18019279395,294500.00
关于笔记本电脑的框架协议合同公告,2025-03-27 16:15:01,上海汉海泉信息科技有限公司,唐旭(男),021-63173625,49950.00
关于台式整机的框架协议合同公告,2025-03-27 16:14:22,上海汉海泉信息科技有限公司,唐旭(男),021-63173625,48000.00
关于扫描仪的框架协议合同公告,2025-03-27 16:07:16,上海华合许信息技术有限公司,王许(女),18019279395,1990.00
关于上海工程技术大学2025年内控评价会计审计的框架协议合同公告,2025-03-27 16:01:38,上海枫雅会计师事务所（普通合伙）,丁勤勤(女),13918396875,40000.00
关于其他专业技术服务的框架协议合同公告,2025-03-27 15:59:28,中国特种设备检验协会,付倞骅(女),18317008625,100800.00
关于稽查局2025年新能源轿车采购的框架协议合同公告,2025-03-27 15:57:34,上海吉屹汽车销售服务有限公司,周帮连(男),18018856221,293800.00
关于预算绩效评价咨询服务的框架协议合同公告,2025-03-27 15:57:04,上海沪港金茂会计师事务所有限公司,郭纯青(女),021-53584777,160000.00
其他建筑及设施设备维护的合同公告,2025-03-27 15:53:42,上海市园林工程有限公司,董崇天(男),13501651875,5390587.73
关于职业考试服务的框架协议合同公告,2025-03-27 15:51:34,上海博恩文化传播有限公司,黄士如(男),13331961883,75429.00
关于职业考试服务的框架协议合同公告,2025-03-27 15:50:38,上海博恩文化传播有限公司,黄士如(男),13331961883,66657.00
关于职业考试服务的框架协议合同公告,2025-03-27 15:49:09,上海博恩文化传播有限公司,黄士如(男),13331961883,250.00
关于上海脑科学与类脑研究中心互联网信息服务的框架协议合同公告,2025-03-27 15:44:43,中国移动通信集团上海有限公司,楼向平(男),021-31292555,156000.00
关于笔记本电脑的框架协议合同公告,2025-03-27 15:40:35,上海静俭科贸有限公司,于宙(男),18001606633,95000.00
关于笔记本电脑的框架协议合同公告,2025-03-27 15:39:23,上海至正科技有限公司,胡家明(男),18917538906,34352.00
关于会计审计的框架协议合同公告,2025-03-27 15:35:25,上海文汇会计师事务所有限公司,张兵(男),18001606633,26950.00
关于会计审计的框架协议合同公告,2025-03-27 15:34:16,上海文汇会计师事务所有限公司,张兵(男),18001606633,8500.00
关于会计审计的框架协议合同公告,2025-03-27 15:31:34,上海文汇会计师事务所有限公司,张兵(男),17321038375,30000.00
关于笔记本电脑的框架协议合同公告,2025-03-27 15:25:44,上海勤寅数码科技有限公司,李鹏(男),021-61470882,9460.00
关于互联网信息服务的框架协议合同公告,2025-03-27 15:22:44,中国电信股份有限公司上海分公司,龚勃(男),021-65663090,177760.00
关于笔记本电脑的框架协议合同公告,2025-03-27 15:17:06,上海易承志通信息技术有限公司,刘惠珍(女),021-63846590,10000.00
关于会计审计的框架协议合同公告,2025-03-27 15:10:18,上海同大会计师事务所有限公司,陈传俊(男),021-22028332,196000.00
进口机电设备的合同公告,2025-03-27 15:08:36,上海科泽智慧环境科技有限公司,吴卫国(男),021-51363000,7760000.00
